 domain, category, score, first_seen, last_seen, ports (|)
 bnahx.com,29,94,2013-08-14,2014-04-29,80
 ojahf.net,29,127,2013-09-17,2014-05-24,80
 rotid.com,1,97,2013-07-03,2014-07-11,80
 cs-amxx.ru,15,40,2013-09-11,2014-07-06,80
 emibors.ru,29,51,2013-05-08,2014-05-02,80
 schw4rz.in,1,117,2014-07-06,2014-07-06,80
 tsmodz.com,35,97,2013-07-09,2014-06-14,80
 epi.sizi.pl,29,125,2013-01-31,2014-07-09,
 hlifter.net,29,108,2013-07-24,2014-06-05,
 jensloh.com,24,109,2011-08-01,2014-07-01,80
 mx.traum.pl,29,126,2013-01-23,2014-07-14,
 stopcut.net,35,65,2014-04-04,2014-06-16,80
 u.saex.info,35,75,2014-05-16,2014-05-16,80
 www.dllx.in,29,117,2013-08-02,2014-06-28,
 www.v3b.net,1,65,2014-02-12,2014-05-17,80
 4.wap517.net,29,127,2014-03-17,2014-04-15,
 ftp.pisem.su,27,105,2012-09-19,2014-05-23,80
 get.daum.net,35,61,2013-12-24,2014-06-06,80
 irc.arcti.ca,9,27,2012-06-05,2014-04-08,6667
 ircqfrum.com,9,85,2012-12-10,2014-06-05,4040
 lirp0tad.org,1,122,2013-03-03,2014-07-11,443
 moozeo.cz.cc,27,72,2011-10-22,2014-04-29,80
 primedyl.com,29,127,2013-10-19,2014-05-23,
 rj1.mooo.com,1,97,2014-06-24,2014-07-07,2009
 www.9996.org,5,72,2014-04-29,2014-07-06,80
 www.jcwz.net,35,123,2014-05-01,2014-07-14,80
 x.ring3.info,1,122,2011-03-15,2014-07-14,80
 4532.3322.org,1,107,2013-04-14,2013-09-06,8000 8800
 4minecraft.su,27,98,2012-12-05,2014-06-18,80
 99.wap517.net,29,100,2014-03-11,2014-06-13,
 ab.0n3mmm.com,9,46,2012-11-18,2012-12-17,666
 codigobit.net,35,101,2013-12-17,2014-07-08,80
 cujyzuh.co.cc,29,82,2014-06-01,2014-06-02,
 derdpawup.com,1,72,2013-08-09,2014-06-11,443
 dl.eorezo.com,35,57,2013-06-16,2014-06-12,80
 dns666666.com,1,75,2013-02-06,2014-04-30,8888 7777 88 66
 ngrb0ts.co.cc,9,66,2013-10-14,2014-05-17,6667
 renform.co.za,28,52,2014-03-22,2014-05-30,443
 snapfiles.com,35,107,2012-07-31,2014-06-14,80
 statsgood.com,29,127,2013-06-06,2014-05-30,
 tycy.fvgd.biz,1,117,2013-08-30,2014-07-04,8000
 www.om108.com,35,69,2013-01-30,2014-06-18,80
 www9.0zz0.com,35,125,2012-10-05,2013-12-30,80
 zaloopa.co.cc,29,127,2013-06-05,2014-06-12,
 alosucspq.info,29,110,2013-12-24,2013-12-24,80
 antivirone.com,24,80,2013-08-08,2014-04-16,80
 eclipsem.co.cc,29,127,2013-10-27,2014-06-13,
 kpresident.com,1,87,2014-07-06,2014-07-06,80
 porotito666.in,29,102,2014-05-14,2014-06-06,80
 pzss.f3322.org,1,55,2014-07-08,2014-07-08,1991
 vinayakweb.com,28,125,2014-01-17,2014-06-18,443
 13.nsvhn987.com,15,27,2013-05-27,2014-06-26,6969
 22.nsvhn987.com,29,119,2013-06-12,2014-07-09,
 94.nsvhn987.com,15,107,2013-07-04,2014-07-16,6969
 ads.gooochi.biz,5,42,2010-10-06,2014-06-16,80
 barnbooks.cu.cc,27,78,2014-04-16,2014-05-29,80
 ejtijbklw.ce.ms,27,45,2011-12-08,2014-04-26,80
 miniinstall.com,5,107,2013-10-15,2014-05-08,80
 os2.50orcdn.com,5,122,2013-04-09,2014-07-09,80
 thevscout.cu.cc,27,105,2014-04-30,2014-06-02,80
 www.bitcity.org,9,72,2011-04-26,2014-05-23,80 81
 www.bornapk.com,37,127,2013-09-24,2014-07-14,80
 www.cybia.co.uk,35,57,2014-06-10,2014-06-12,80
 www.wma-mp3.com,35,115,2012-05-17,2014-06-19,80
 181.nsvhn987.com,1,117,2013-03-05,2014-07-15,8080
 agroupofmana.com,1,127,2014-04-12,2014-06-17,443
 botnetroot.co.cc,29,127,2013-06-07,2014-05-04,
 chat.elunacy.com,9,68,2014-01-05,2014-05-19,6667
 choncellmo.cz.cc,27,74,2013-07-22,2014-05-25,80
 cvau.gorotza.biz,35,61,2014-06-14,2014-06-14,80
 dfxb119.3322.org,25,120,2013-09-22,2013-12-07,80
 hogroves.xoom.it,35,73,2013-02-24,2014-05-24,80
 nf.outerinfo.net,5,32,2012-10-11,2014-06-18,80
 roded-joys.co.cc,29,50,2014-04-29,2014-04-29,
 woslormonn.ce.ms,27,42,2014-04-23,2014-04-23,80
 www.donkeys5.com,1,82,2013-08-08,2014-07-08,80
 www.real2000.org,5,117,2013-08-13,2014-07-11,80
 www.ysxs2013.com,5,55,2013-06-24,2014-05-05,80
 123.dns666666.com,1,77,2014-07-07,2014-07-07,3333
 142.ns1631261.com,1,107,2014-01-08,2014-06-12,8080
 coopsterdog32.com,29,127,2013-06-16,2014-05-10,
 dahadez.no-ip.biz,1,47,2014-03-11,2014-07-11,1604
 dejavu-now-123.tk,27,48,2014-05-26,2014-05-26,80
 info.hoposoft.com,1,27,2012-10-11,2014-05-23,80
 mshpibm3.3322.org,25,120,2011-10-29,2014-05-17,80
 ns39.iphoster.net,35,55,2014-05-26,2014-06-11,80
 software.ucsf.edu,35,115,2013-10-16,2014-06-10,80
 sunogovavdwe3.biz,29,127,2013-06-07,2014-06-08,
 thanhhaievent.com,35,57,2014-05-19,2014-06-12,80
 thmwmtdibfjjnd.ru,29,127,2014-06-09,2014-06-09,80
 tusemiletisim.com,1,30,2012-12-12,2014-04-04,80
 twozd07.no-ip.org,1,62,2014-06-10,2014-07-04,5552
 www.vtestdrive.ru,27,84,2013-08-13,2014-06-04,80
 253505213.3322.org,1,97,2014-03-26,2014-06-27,2011
 a1017.g.akamai.net,35,113,2012-11-21,2014-06-14,80
 a1872.g.akamai.net,35,116,2012-08-09,2014-04-29,80
 a1983.g.akamai.net,35,53,2012-08-07,2014-05-15,80
 checkip.dyndns.com,17,124,2013-01-01,2014-06-05,80 8245
 dns.photomarket.me,1,117,2011-03-12,2014-07-14,1234
 eeuprbpohspwje.com,29,104,2012-07-02,2014-06-17,
 filesassociate.net,29,127,2013-11-12,2014-06-14,80
 gsdtggfvdwdy.co.uk,29,127,2014-06-08,2014-06-08,80
 info.spiritsoft.cn,5,122,2011-07-20,2014-07-12,80
 injectionhax.co.cc,27,79,2013-05-08,2014-05-30,80
 liren.52shenao.com,5,45,2014-05-03,2014-05-03,80
 ngr.dns02.ns2.name,1,67,2011-12-21,2012-12-18,1591 0
 ocuukdvsuapj.co.uk,29,127,2013-10-22,2014-05-29,80
 pc8.114central.com,1,117,2012-08-21,2014-07-14,80
 reviews.toggle.com,28,125,2014-05-05,2014-06-19,443
 s3-1.amazonaws.com,35,125,2012-09-15,2014-06-16,80
 skylineinc-inc.biz,28,119,2014-05-14,2014-05-26,443
 sr1u.und3rgr0nd.tk,9,123,2014-05-08,2014-07-14,6900
 x.hzmksreiuojy.biz,29,122,2013-08-23,2014-06-06,80
 40423.api.socdn.com,5,127,2014-06-19,2014-07-15,80
 48bd8.api.socdn.com,5,117,2014-06-19,2014-07-15,80
 906e4.api.socdn.com,5,107,2014-06-24,2014-07-12,80
 98705.api.socdn.com,5,102,2014-06-19,2014-07-14,80
 b1c6f.api.socdn.com,5,35,2014-07-14,2014-07-14,80
 cameratunersoft.com,35,117,2013-02-05,2014-06-08,80
 dingtao333.3322.org,1,117,2013-02-07,2014-07-12,1
 dl1-daemon-tools.ru,1,75,2014-05-21,2014-06-13,80
 do-managed-scan.com,1,57,2012-09-07,2014-06-24,80
 download.toggle.com,5,122,2011-11-15,2014-07-16,80
 downloadhousedl.com,35,117,2014-03-20,2014-06-15,80
 ip2.neiwangtong.com,1,102,2013-12-06,2014-07-05,110 120 500 1187 1188 1998 2013 2014 2015 2321 3698 4040 4445 6587 6969 8001 8011 9898 9995 10002 10
 jojok.servehttp.com,25,120,2014-05-28,2014-06-18,3341
 olyhpbxiltjuj.co.uk,29,127,2013-10-22,2014-05-29,80
 q356231371.3322.org,1,32,2013-04-17,2014-01-29,8000
 spss.sd.softonic.fr,5,82,2014-05-24,2014-07-08,80
 torent.g-torrent.ru,1,112,2014-03-25,2014-07-10,80
 xmlinstcp.ffbbvt.eu,5,122,2014-05-15,2014-07-16,80
 232c6f.api.socdn.com,5,102,2014-07-03,2014-07-12,80
 51fe7e.api.socdn.com,5,105,2014-07-03,2014-07-14,80
 589311123.qseach.com,1,120,2012-06-25,2012-06-27,80
 7day.xiaoxinrili.com,5,117,2014-04-23,2014-07-15,80
 85742a.api.socdn.com,5,85,2014-06-29,2014-07-14,80
 avatarstar.zapto.org,25,120,2014-03-18,2014-04-23,80
 c664f4.api.socdn.com,5,67,2014-07-03,2014-07-05,80
 caoqihua520.gicp.net,25,120,2014-03-17,2014-03-17,80
 fd5bf2.api.socdn.com,5,90,2014-07-06,2014-07-14,80
 nginx112.filewin.com,5,122,2014-07-09,2014-07-09,80
 nicolaspkz.no-ip.org,1,67,2014-01-14,2014-02-01,82 2000
 nymgo.sd.softonic.fr,5,27,2014-06-25,2014-06-25,80
 polaris-software.com,35,65,2013-08-10,2014-06-16,80
 proxim.ntkrnlpa.info,9,126,2012-08-16,2014-07-14,80
 synbodzmax.sytes.net,25,120,2014-01-19,2014-07-02,80
 www.drivesnapshot.de,35,94,2012-10-30,2013-12-18,80
 www2.megawebfind.com,1,82,2013-01-23,2014-06-07,80
 ywuwegokskgcowec.org,29,100,2013-08-02,2014-05-14,80
 127sdsdsdsdw.3322.org,1,85,2014-04-29,2014-05-15,888
 a97.dscg10.akamai.net,35,59,2012-08-15,2014-06-19,80
 btuxjdxjypmvafr.co.uk,29,127,2014-05-23,2014-05-23,80
 cameron-archibald.com,35,113,2014-07-11,2014-07-11,80
 soluto.sd.softonic.de,5,25,2014-05-07,2014-05-07,80
 uvoceconeht.myftp.org,25,120,2013-12-07,2014-05-27,80
 vcjdrkxrlttodvu.co.uk,29,127,2014-03-27,2014-04-09,80
 www.supremacy1914.com,35,125,2013-01-30,2014-05-26,80
 327337.parkingcrew.net,24,95,2013-12-22,2014-06-18,80
 bbnn7bd.114central.com,35,53,2012-08-22,2014-06-10,80
 download.eurogrand.com,6,23,2011-11-15,2014-05-26,80
 myshootingheritage.org,28,34,2014-01-15,2014-04-15,443
 tools.softbridge.co.kr,5,107,2014-04-03,2014-07-13,80
 www.4dots-software.com,35,95,2013-08-29,2014-06-11,80
 www.wajam-download.com,35,127,2013-07-13,2014-06-17,80
 adblock.sd.softonic.com,5,77,2014-04-15,2014-07-07,80
 c01.i07.arnic.hadns.net,35,123,2013-06-21,2014-06-14,80
 cdn.freefullversion.org,35,69,2013-12-06,2014-05-23,80
 mywebsite.host4star.com,1,25,2014-05-06,2014-05-06,80
 poochooshoozoxoachic.ru,1,117,2014-03-17,2014-07-15,80
 www.ecran-de-veille.com,35,61,2013-06-07,2014-05-09,80
 1b437.perfectchoice1.com,29,127,2014-04-14,2014-05-26,
 1e903.perfectchoice1.com,29,50,2014-04-30,2014-04-30,
 1fb53.perfectchoice1.com,29,127,2014-03-18,2014-03-26,8080
 fordmustangtuninglabs.ru,28,28,2012-08-01,2012-08-03,443
 highclassdelhiescorts.in,1,97,2014-02-05,2014-04-03,80
 sweb3032.isp.belgacom.be,35,123,2013-10-29,2014-06-07,80
 update.mediaupdate.co.kr,35,67,2014-06-17,2014-06-17,80
 db48g7ep4navw13.dyryta.ru,1,112,2014-06-28,2014-07-14,80
 dcusp.paintballlingco.net,29,121,2014-05-06,2014-06-10,
 ipodwizard.sd.softonic.fr,5,65,2013-04-25,2013-12-19,80
 leopard-x.sd.softonic.com,5,40,2014-05-08,2014-05-08,80
 march2.aranematsccont.biz,9,75,2014-05-02,2014-05-02,4949
 pcf-updown-th.wshifen.com,35,91,2014-03-08,2014-06-15,80
 sourceforge.netcologne.de,35,121,2012-08-12,2014-06-16,80
 www.g1ikddcvns3sdsal.info,1,117,2012-02-06,2014-07-14,80
 bestwebhostingcompanies.co,28,110,2014-01-15,2014-06-19,443
 doom-95.sd.en.softonic.com,5,117,2014-01-30,2014-07-15,80
 download1267.mediafire.com,35,51,2014-05-17,2014-06-09,80
 nothingtolose.changeip.org,25,120,2010-09-25,2014-06-20,9090
 open-sonic.sd.softonic.com,5,117,2014-07-14,2014-07-15,80
 plivhigebipbvcgitpgyauv.ru,29,85,2014-06-01,2014-06-05,80
 secure.7-fusioninstall.com,35,123,2014-03-21,2014-06-14,80
 spiceworks.sd.softonic.com,5,32,2013-12-29,2014-06-28,80
 vncfrozyn.odin-valhall.com,9,117,2013-06-24,2014-06-03,6667
 webupdate.mybrowserbar.com,35,103,2012-07-29,2014-06-04,80
 any-weblock.sd.softonic.com,5,22,2012-06-12,2014-06-26,80
 benubird-pdf.sd.softonic.it,5,82,2014-07-02,2014-07-08,80
 combofix.sd.softonic.com.br,5,107,2012-08-04,2014-07-13,80
 ds3-tool.sd.en.softonic.com,5,107,2013-04-15,2014-07-14,80
 fbreader.sd.en.softonic.com,5,107,2012-07-27,2014-07-13,80
 statplus.sd.en.softonic.com,5,45,2013-05-01,2013-05-25,80
 dd73l2c3wreh9.cloudfront.net,35,107,2012-07-20,2014-05-22,80
 ddaad3nu9sswl.cloudfront.net,35,107,2014-07-06,2014-07-11,80
 ghgng43fgjl82309dfg99df4.com,29,127,2014-04-05,2014-05-14,
 greenshot.sd.en.softonic.com,5,102,2014-04-19,2014-07-11,80
 lview-poster.sd.softonic.com,5,82,2014-07-03,2014-07-03,80
 scozusrtuohqgeuweynkniztt.ru,29,127,2014-06-08,2014-06-08,80
 sf-dienstplan.sd.softonic.de,5,65,2014-06-05,2014-06-05,80
 ztxllbhmyqwbmztlfnbtvscas.ru,29,127,2014-06-01,2014-06-06,80
 a25642.nb.host192-168-1-2.com,1,117,2014-05-08,2014-05-08,80
 d362wu6d2pl5o7.cloudfront.net,35,115,2014-04-01,2014-06-12,80
 educle-college.sd.softonic.fr,5,50,2014-04-18,2014-06-03,80
 finereader.ud.en.softonic.com,5,122,2012-07-28,2014-07-09,80
 n18737.nb.host192-168-1-2.com,1,102,2014-05-07,2014-05-07,80
 wobaqbaxcexwcyytskfxceajmz.ru,29,89,2014-06-01,2014-06-09,80
 cufebfixoeimrwlxzdjfaqeavkd.ru,29,86,2014-06-01,2014-06-06,80
 hiro-burner.sd.en.softonic.com,5,42,2014-06-29,2014-06-30,80
 revela-wifi.sd.softonic.com.br,5,30,2013-11-04,2014-07-07,80
 ultradefrag.sd.nl.softonic.com,5,117,2014-07-14,2014-07-15,80
 mecanografia-am.sd.softonic.com,5,57,2014-06-28,2014-06-28,80
 memoriesontv.sd.en.softonic.com,5,82,2013-11-12,2014-07-08,80
 prettychrri87.animalrace.com.ar,1,107,2014-04-21,2014-07-14,80
 spacesniffer.sd.nl.softonic.com,5,27,2014-04-22,2014-06-10,80
 tivo-desktop.sd.en.softonic.com,5,32,2014-05-13,2014-06-28,80
 zdxcdyfehzhlvtscaxwkvzplbrs.org,1,25,2014-07-09,2014-07-09,80
 avsvideoconverter.sd.softonic.fr,5,77,2014-07-06,2014-07-07,80
 jm.campaner.pagesperso-orange.fr,35,69,2014-01-14,2014-06-18,80
